left_arm_torques.tau_1,left_arm_torques.tau_2,left_arm_torques.tau_3,left_arm_torques.tau_4,left_arm_torques.tau_5,left_arm_torques.tau_6,left_arm_torques.tau_7,right_arm_torques.tau_1,right_arm_torques.tau_2,right_arm_torques.tau_3,right_arm_torques.tau_4,right_arm_torques.tau_5,right_arm_torques.tau_6,right_arm_torques.tau_7,waist_torque.tau_w,time.t
-5.53711,2.54883,0.727095,-3.95508,-0.5625,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.175781,1.3
-5.53711,2.54883,0.727095,-3.86719,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.5625,0,1.31
-5.53711,2.54883,0.727095,-3.86719,-0.5625,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.5625,-0.292969,1.32
-5.53711,2.54883,0.727095,-3.86719,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.615234,-3.16406,0.4375,-0.25,0.5625,-0.0585938,1.33
-5.53711,2.46094,0.727095,-3.95508,-0.5625,-0.25,-0.25,-4.74609,-2.37305,-0.615234,-3.16406,0.3125,-0.25,0.5625,-0.175781,1.34
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.3125,-0.25,0.5625,-0.234375,1.35
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.46875,1.36
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.25,-0.1875,-4.92188,-2.28516,-0.559304,-3.16406,0.375,-0.25,0.5625,0,1.37
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.1875,-4.92188,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.175781,1.38
-5.44922,2.54883,0.671165,-3.95508,-0.5,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,0.351562,1.39
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.25,-0.1875,-4.74609,-2.28516,-0.559304,-3.25195,0.375,-0.25,0.5625,-0.234375,1.4
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.28516,-0.559304,-3.25195,0.4375,-0.25,0.5625,-0.0585938,1.41
-5.53711,2.46094,0.727095,-3.95508,-0.5625,-0.25,-0.25,-4.6582,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.234375,1.42
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.292969,1.43
-5.53711,2.46094,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.25195,0.4375,-0.25,0.5625,-0.46875,1.44
-5.53711,2.46094,0.727095,-3.86719,-0.5,-0.25,-0.1875,-4.74609,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.351562,1.45
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.175781,1.46
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.25,-4.74609,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.175781,1.47
-5.53711,2.54883,0.727095,-3.86719,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.5625,-0.234375,1.48
