left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
4.464,3.27444,19.1405,-0.34189,1.00887,-0.538515,4.75563,-3.89438,14.9973,0.582978,0.845866,0.748121,1.12
4.45931,3.26766,19.1671,-0.339204,1.01132,-0.535504,4.74159,-3.8921,14.9969,0.576744,0.845043,0.751589,1.13
4.45555,3.27398,19.1564,-0.340901,1.00692,-0.540719,4.73105,-3.89987,14.9993,0.578207,0.845005,0.752222,1.14
4.45232,3.27351,19.1474,-0.339356,1.0018,-0.538837,4.72185,-3.89171,14.9602,0.57684,0.836462,0.752763,1.15
4.44983,3.27694,19.1735,-0.341039,1.00578,-0.539611,4.76615,-3.90335,14.9349,0.578442,0.838935,0.754114,1.16
4.44701,3.28232,19.1622,-0.342553,1.00194,-0.544414,4.75418,-3.89348,14.9382,0.57954,0.839065,0.751905,1.17
4.41747,3.27301,19.2011,-0.339748,1.00431,-0.540385,4.74134,-3.8962,14.945,0.577188,0.839272,0.753746,1.18
4.41625,3.28907,19.2262,-0.340429,1.00883,-0.546395,4.73082,-3.9036,14.9526,0.578607,0.83981,0.754165,1.19
4.41709,3.27042,19.2386,-0.340883,1.01201,-0.54654,4.72237,-3.89367,14.9541,0.579685,0.839853,0.751951,1.2
4.42072,3.26895,19.2178,-0.34705,1.00712,-0.544149,4.71371,-3.90125,14.9607,0.580853,0.840333,0.752545,1.21
4.44752,3.25148,19.1681,-0.34348,1.00805,-0.54125,4.75876,-3.91196,14.9354,0.582047,0.842421,0.753926,1.22
4.47066,3.25233,19.1284,-0.340349,1.00933,-0.541274,4.74749,-3.90118,14.9386,0.582783,0.842204,0.751732,1.23
4.43754,3.24212,19.17,-0.336714,1.0113,-0.540328,4.73751,-3.91168,14.9475,0.584586,0.842091,0.749488,1.24
4.43532,3.24475,19.1931,-0.337621,1.01467,-0.543716,4.72738,-3.91752,14.9547,0.585265,0.842346,0.750331,1.25
4.43351,3.24095,19.2144,-0.335366,1.01654,-0.540185,4.71619,-3.91292,14.9585,0.578804,0.841873,0.753574,1.26
4.45929,3.24673,19.1708,-0.334092,1.01663,-0.537546,4.76108,-3.92246,14.9334,0.580212,0.843804,0.754845,1.27
4.45509,3.24272,19.1944,-0.332192,1.0183,-0.534629,4.80145,-3.93105,14.9108,0.581476,0.845546,0.755991,1.28
4.45297,3.25052,19.1829,-0.335191,1.01239,-0.532253,4.78377,-3.93129,14.9211,0.581523,0.845812,0.759042,1.29
4.45108,3.25754,19.1726,-0.33789,1.00708,-0.530114,4.76901,-3.93515,14.931,0.582511,0.845695,0.758926,1.3
4.47507,3.26165,19.1331,-0.336368,1.00812,-0.528478,4.75467,-3.93369,14.9386,0.579862,0.845239,0.760066,1.31
4.49774,3.27057,19.0991,-0.338661,1.00942,-0.525916,4.74173,-3.93237,14.9454,0.577475,0.844828,0.761091,1.32
4.51704,3.27339,19.067,-0.337059,1.01022,-0.524704,4.73232,-3.93973,14.9536,0.579811,0.844454,0.757909,1.33
4.51006,3.26542,19.0974,-0.342565,1.01328,-0.523159,4.72178,-3.93657,14.9582,0.574838,0.843412,0.757537,1.34
4.5014,3.26576,19.0943,-0.340862,1.00751,-0.523025,4.71112,-3.93005,14.9617,0.569417,0.842834,0.760061,1.35
4.49398,3.26989,19.1256,-0.342405,1.01092,-0.525366,4.7036,-3.93402,14.9676,0.571613,0.843018,0.759846,1.36
4.51249,3.26888,19.0902,-0.339382,1.01191,-0.526976,4.74969,-3.91999,14.9349,0.569998,0.844045,0.759149,1.37
4.50296,3.26263,19.1217,-0.336954,1.01405,-0.525115,4.79221,-3.91226,14.9069,0.572084,0.845321,0.757275,1.38
4.46725,3.25764,19.13,-0.334705,1.00776,-0.527132,4.77659,-3.91801,14.9183,0.574013,0.845255,0.757336,1.39
4.48848,3.25789,19.0941,-0.332452,1.00907,-0.52857,4.73573,-3.89223,14.9865,0.571268,0.84586,0.75554,1.4
4.48137,3.25276,19.1253,-0.330718,1.01149,-0.526551,4.7,-3.87394,15.0492,0.572332,0.846755,0.752684,1.41
4.47799,3.24686,19.1499,-0.336861,1.01442,-0.524819,4.66719,-3.88161,15.0619,0.574165,0.845716,0.752783,1.42
4.47072,3.23893,19.1748,-0.333641,1.01665,-0.525944,4.66409,-3.89043,15.0578,0.575887,0.84561,0.753296,1.43
4.46514,3.21524,19.1922,-0.330661,1.0182,-0.524322,4.63447,-3.8889,15.1186,0.576685,0.84697,0.753254,1.44
4.48873,3.20704,19.1457,-0.329784,1.01766,-0.520632,4.63568,-3.88047,15.1035,0.577955,0.846297,0.751133,1.45
4.5084,3.21855,19.0742,-0.329069,1.0102,-0.524059,4.63574,-3.88944,15.0952,0.579298,0.846133,0.751812,1.46
4.49909,3.22355,19.1069,-0.330743,1.01368,-0.529074,4.63679,-3.88091,15.0825,0.580306,0.845545,0.749833,1.47
4.51828,3.23107,19.074,-0.329936,1.01405,-0.527543,4.63568,-3.88489,15.0749,0.577877,0.845104,0.751883,1.48
4.50881,3.23486,19.0732,-0.329497,1.00819,-0.526973,4.63469,-3.88846,15.0681,0.575693,0.844707,0.753726,1.49
4.50074,3.23723,19.1079,-0.331726,1.01107,-0.524019,4.68772,-3.90045,15.032,0.577408,0.846358,0.754985,1.5
4.49341,3.24423,19.1379,-0.334183,1.01412,-0.526265,4.68255,-3.88594,15.0242,0.575073,0.845395,0.753931,1.51
