left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
-1.34205,2.80225,7.34183,0.768331,0.675457,-1.41654,0.414122,-4.1606,6.30763,-0.849065,1.4774,0.278833,1.03
-1.35203,2.70036,7.34947,0.807635,0.669635,-1.37649,0.113123,-4.1383,6.98209,-0.897983,1.4913,0.260335,1.04
-1.34305,2.53444,7.30167,0.806862,0.665115,-1.34959,0.393449,-4.2247,6.36287,-0.889486,1.47491,0.266203,1.05
-1.34213,2.80216,7.34167,0.768402,0.67548,-1.41648,0.393534,-4.22463,6.36292,-0.889445,1.47493,0.266187,1.06
-1.34212,2.80218,7.34188,0.76836,0.675469,-1.4165,0.393223,-4.27337,6.34178,-0.886176,1.47722,0.315372,1.07
-1.34206,2.80212,7.3417,0.768376,0.675491,-1.41649,0.405257,-4.04579,6.30469,-0.915603,1.46312,0.222593,1.08
-1.34212,2.80219,7.34192,0.768351,0.675469,-1.4165,0.393532,-4.22475,6.36283,-0.889442,1.47492,0.266211,1.09
-1.63798,2.61107,7.95354,0.815252,0.686667,-1.37065,0.403502,-4.05906,6.3128,-0.889485,1.47057,0.239757,1.1
-1.34315,2.53458,7.30172,0.806894,0.665082,-1.34959,0.123804,-4.23986,6.97681,-0.85752,1.49814,0.299388,1.11
-1.34217,2.80237,7.34181,0.768386,0.675426,-1.41651,0.403503,-4.05893,6.31292,-0.889478,1.47058,0.239731,1.12
-1.35181,2.70035,7.34944,0.80761,0.669663,-1.37647,0.393422,-4.22471,6.3628,-0.889484,1.47488,0.266191,1.13
-1.35186,2.70042,7.34948,0.807635,0.66962,-1.37649,0.404015,-4.32637,6.35756,-0.849045,1.48173,0.305273,1.14
