left_arm_positions.q_1,left_arm_positions.q_2,left_arm_positions.q_3,left_arm_positions.q_4,left_arm_positions.q_5,left_arm_positions.q_6,left_arm_positions.q_7,right_arm_positions.q_1,right_arm_positions.q_2,right_arm_positions.q_3,right_arm_positions.q_4,right_arm_positions.q_5,right_arm_positions.q_6,right_arm_positions.q_7,waist_position.q_w,time.t
-0.0220213,0.20142,-0.114245,0.422714,-0.0923064,0.350596,-0.141621,-0.012979,-0.197662,0.127894,0.442741,0.0829589,0.353196,0.16221,0.000536917,0.869999
-0.0220213,0.20142,-0.114259,0.422714,-0.0923064,0.350572,-0.141645,-0.012962,-0.197679,0.127894,0.442741,0.0829709,0.353196,0.162222,0.00058805,0.879999
-0.0220127,0.20142,-0.114219,0.422714,-0.0922825,0.35056,-0.141645,-0.0129875,-0.197645,0.127894,0.442741,0.0829828,0.353196,0.162222,0.000562483,0.889999
-0.0220213,0.201429,-0.114205,0.422705,-0.0923185,0.35056,-0.141621,-0.0129705,-0.197662,0.127894,0.442741,0.0829709,0.353196,0.162222,0.000562483,0.899999
-0.0220299,0.201437,-0.114245,0.422714,-0.0923064,0.350536,-0.141621,-0.0129705,-0.19767,0.127908,0.44275,0.0829709,0.353196,0.162222,0.000562483,0.909999
-0.022038,0.20142,-0.114245,0.422705,-0.0923064,0.350536,-0.141633,-0.012979,-0.197687,0.127921,0.44275,0.0829709,0.353196,0.16221,0.000613617,0.919999
-0.022038,0.20142,-0.114245,0.422697,-0.0923064,0.350548,-0.141633,-0.012979,-0.19767,0.127894,0.44275,0.0829589,0.353196,0.162222,0.000613617,0.929999
-0.0220299,0.201395,-0.114232,0.422714,-0.0922945,0.350524,-0.141633,-0.012979,-0.197653,0.127894,0.442741,0.0829709,0.353196,0.162222,0.000536917,0.939999
-0.0220299,0.201403,-0.114219,0.422705,-0.0923064,0.3505,-0.141621,-0.0129705,-0.197662,0.127908,0.44275,0.0829589,0.353196,0.162222,0.000562483,0.949999
-0.0220127,0.201378,-0.114272,0.422705,-0.0923064,0.3505,-0.141633,-0.012962,-0.197653,0.127894,0.442741,0.0829709,0.353196,0.162222,0.000562483,0.959999
-0.0220127,0.201386,-0.114245,0.422705,-0.0923064,0.350512,-0.141633,-0.012962,-0.197653,0.127908,0.44275,0.0829709,0.353196,0.162198,0.00058805,0.969999
-0.0219955,0.201386,-0.114245,0.422705,-0.0922825,0.3505,-0.141645,-0.0129705,-0.197653,0.127908,0.442741,0.082947,0.353196,0.162222,0.000562483,0.979999
-0.0220213,0.201403,-0.114245,0.422697,-0.0923064,0.350488,-0.141633,-0.012962,-0.197645,0.127908,0.44275,0.0829709,0.353208,0.16221,0.00058805,0.989999
-0.0220299,0.201378,-0.114245,0.422688,-0.0923185,0.350488,-0.141645,-0.0129875,-0.19767,0.127908,0.44275,0.0829709,0.353196,0.162222,0.000613617,0.999999
-0.0220127,0.201386,-0.114232,0.422705,-0.0923064,0.350488,-0.141609,-0.0129705,-0.197645,0.127908,0.44275,0.082947,0.353196,0.16221,0.000562483,1.01
